,field_year,field_category,field_publication,title,field_abbr_citation
402,1988,Investigative Reporting,Chicago Tribune,"Dean Baquet, William Gaines and Ann Marie Lipinski",For their detailed reporting on the self-interest and waste that plague Chicago&#039;s City Council.
403,1987,Investigative Reporting,The Philadelphia Inquirer,John Woestendiek,"For outstanding prison beat reporting, which included proving the innocence of a man convicted of murder."
404,1987,Investigative Reporting,The Philadelphia Inquirer,"Daniel R. Biddle, H. G. Bissinger and Fredric N. Tulsky","For their series &quot;Disorder in the Court,&quot; which revealed transgressions of justice in the Philadelphia court system and led to federal and state investigations."
405,1986,Investigative Reporting,Lexington (KY) Herald Leader,Jeffrey A. Marx and Michael M. York,"For their series &quot;Playing Above the Rules,&quot; which exposed cash payoffs to University of Kentucky basketball players in violation of NCAA regulations and led to significant reforms."
406,1985,Investigative Reporting,St. Petersburg (FL) Times,Lucy Morgan and Jack Reed,"For their thorough reporting on Pasco County Sheriff John Short, which revealed his department&#039;s corruption and led to his removal from office by voters."
407,1985,Investigative Reporting,The Philadelphia Inquirer,William K. Marimow,For his revelation that city police dogs had attacked more than 350 people -- an expose that led to investigations of the K-9 unit and the removal of a dozen officers from it.
408,2020,Explanatory Reporting,The Washington Post,Staff of The Washington Post,For a groundbreaking series that showed with scientific clarity the dire effects of extreme temperatures on the planet.
409,2019,Explanatory Reporting,The New York Times,"David Barstow, Susanne Craig and Russ Buettner of The New York Times","For an exhaustive 18-month investigation of President Donald Trump’s finances that debunked his claims of self-made wealth and revealed a business empire riddled with tax dodges. (Moved by the Board from the Investigative Reporting category, where it was also entered.)"
410,2018,Explanatory Reporting,, Staffs of The Arizona Republic and USA Today Network,"For vivid and timely reporting that masterfully combined text, video, podcasts and virtual reality to examine, from multiple perspectives, the difficulties and unintended consequences of fulfilling President Trump&#039;s pledge to construct a wall along the U.S. border with Mexico."
411,2017,Explanatory Reporting,,"International Consortium of Investigative Journalists, McClatchy and Miami Herald","For the Panama Papers, a series of stories using a collaboration of more than 300 reporters on six continents to expose the hidden infrastructure and global scale of offshore tax havens. (Moved by the Board from the International Reporting category, where it was entered.)"
412,2016,Explanatory Reporting,,T. Christian Miller of ProPublica and Ken Armstrong of The Marshall Project,For a startling examination and exposé of law enforcement&#039;s enduring failures to investigate reports of rape properly and to comprehend the traumatic effects on its victims.
413,2015,Explanatory Reporting,Bloomberg News,Zachary R. Mider,"For a painstaking, clear and entertaining explanation of how so many U.S. corporations dodge taxes and why lawmakers and regulators have a hard time stopping them."
414,2014,Explanatory Reporting,The Washington Post,Eli Saslow,"For his unsettling and nuanced reporting on the prevalence of food stamps in post-recession America, forcing readers to grapple with issues of poverty and dependency."
415,2013,Explanatory Reporting,The New York Times,Staff,For its penetrating look into business practices by Apple and other technology companies that illustrates the darker side of a changing global economy for workers and consumers.
416,2012,Explanatory Reporting,The New York Times,David Kocieniewski,For his lucid series that penetrated a legal thicket to explain how the nation&#039;s wealthiest citizens and corporations often exploited loopholes and avoided taxes.
417,2011,Explanatory Reporting,Milwaukee Journal Sentinel,"Mark Johnson, Kathleen Gallagher, Gary Porter, Lou Saldivar and Alison Sherwood","For their lucid examination of an epic effort to use genetic technology to save a 4-year-old boy imperiled by a mysterious disease, told with words, graphics, videos and other images."
418,2010,Explanatory Reporting,The New York Times,Michael Moss and members of the Staff,"For relentless reporting on contaminated hamburger and other food safety issues that, in print and online, spotlighted defects in federal regulation and led to improved practices. (Moved by the Board from the Investigative Reporting category.)"
419,2009,Explanatory Reporting,Los Angeles Times,Bettina Boxall and Julie Cart,For their fresh and painstaking exploration into the cost and effectiveness of attempts to combat the growing menace of wildfires across the western United States.
420,2008,Explanatory Reporting,The New York Times,Amy Harmon,"For her striking examination of the dilemmas and ethical issues that accompany DNA testing, using human stories to sharpen her reports."
421,2007,Explanatory Reporting,Los Angeles Times,"Kenneth R. Weiss, Usha Lee McFarling, and Rick Loomis","For their richly portrayed reports on the world&#039;s distressed oceans, telling the story in print and online, and stirring reaction among readers and officials."
422,2006,Explanatory Reporting,The Washington Post,David Finkel,"For his ambitious, clear-eyed case study of the United States government&#039;s attempt to bring democracy to Yemen."
423,2005,Explanatory Reporting,The Boston Globe,Gareth Cook,"For explaining, with clarity and humanity, the complex scientific and ethical dimensions of stem cell research."
424,2004,Explanatory Reporting,The Wall Street Journal,Kevin Helliker and Thomas M. Burton,"For their groundbreaking examination of aneurysms, an often overlooked medical condition that kills thousands of Americans each year."
425,2003,Explanatory Reporting,The Wall Street Journal,Staff,"For its clear, concise and comprehensive stories that illuminated the roots, significance and impact of corporate scandals in America. (Moved by the jury from the Public Service category.)"
426,2002,Explanatory Reporting,The New York Times,Staff,"For its informed and detailed reporting, before and after the September 11th attacks on America, that profiled the global terrorism network and the threats it posed."
